id,overall-ratings,summary,pros,cons
30,5,Wonderful company,"Very welcoming bunch.
They understand that you are a human being and treat you as such.",The phones are very busy. VERY BUSY.
536,1,The worst experience,No pros exist within this company,"no respect for the employee, no value for their contributions"
696,4,A Non-Profit With a Lot of Heart,"Community, Work-life-balance, Global, Longevity, Diversity, Friends","Lower than average salaries

Silos

Slow to adopt

Transparency"
558,3,"Great place to kick start your career, but leave it before it chews  you up","One of the few places where you are promoted based on potential not necessarily on actual achievements, which is a pro when you want to grow fast, but also a con since you inevitably end up working with a bunch of sweet talkers that are good in showing off without getting anything done. The company teaches you a lot though and let’s you take on a lot of responsibility early on, which if you’re up for it it’s an incredible learning opportunity. The culture is very direct and decisive and I have always considered it to be a very strong side.","Where do I begin... toxic management especially in the last 2-3 years, leaders in Mancom backstabbing each other to bring good news first, because it’s bringing the news that counts not delivering results. People with zero empathy leading the People function. Company is really struggling to reinvent organic growth, so targets are being achieved through constant cost cuts which are putting enormous pressure on already lean structure and people, pushing many into burnout. If you stay in role for too long something must be wrong with you, so many people like these are labeled “blockers”. Diversity and inclusion is window dressing since the real career opportunities go mostly to Brazilian males and you can be awesome but if you’re not part of this club “you can’t sit with us”. Pay is below market average since you’re supposed to get good bonuses, but as the company struggles with results there’s been no bonus since 2019, shares are down and digging so you do the math. Super short term oriented which is sad for a company of this size."
837,4,Great place,amazon great place work for bezos mr one,only offered rolling one month contracts
597,3,Lacking in proper training.,I loved being a property manager. Pay was under what should have been for the size apartments and responsibilities I had. Benefits were okay.,"Training was left to another property manager who was on a power trip and took another property to manage. The first week or so was good but then there wasn't much time to properly train me on the many, many reports required. I asked the regional when she came to please help me but most of her time was spent on the phone or her laptop. The properties were being renovated and they expected you to add being over all that plus your other job duties. 8 hrs in a day was never enough! Why they didn't have a project manager over all this I will never know. Leases were expired and everytime I ask for help I was told there were more important things to do. HAP payments weren't posted because I was never shown how. Ledgers were messed up horribly. I kept telling them I need help! Was told not to tell the owners all the problems going on at the property. Basically to lie to them. When people skipped out instead of moving them out I was told to leave it as if they were just behind on the rent, that way vacancies would not be up. I could go on and on. The regional came in out of the blue and fired me for being overwhelmed. No warning, no write up, no verbal. Just your fired. Would I advise this company...NO! Look at their management turnover. They put more emphasis on their regionals than the backbone of the company. The property managers. I had 10 years experience and have worked at much larger properties. Not to mention the morals of their so called Christian regional that all she wanted to talk about when she took us out to lunch was having to drink before she had sex with her husband. Is this the best you can do Beztak?"
166,1,Most  degrading company I ever worked for,There are no pros to working for this company.,"I don't even know where to begin. The pay is awful, there are no benefits, the owners and upper management are vile and the environment is toxic. This is the worst place I have ever worked for. Upper management goes out of their way to put you down. They take any opportunity to speak to you condescendingly. I have never felt more disrespected at work. I have worked for a large corporate company since leaving club tattoo and I can say, they violate so many laws and basic practices. I do not suggest anyone to work here. The owners act like they are a Fortune 500 company when all they are is a strip mall tattoo shop."
919,1,Don’t work here,"Nothing, it was all bad",Everything sucked and they’re cheap
496,1,,"Great Caring People, Salary, Flexibility","Benefits, Management, No Work Life Balance"
825,5,Great Experience at ACN,Great project experience and lucky enough to work with an amazing team,"Regional staffing model make it difficult to get staffed. Even though I didn't have an issue on going to the bench, I found it extremely difficult to get the project experience I wanted due to my location. Even when I found a project, my own region blocked me from going."
