id,overall-ratings
522,0
738,0
741,0
661,0
412,0
679,0
627,1
514,0
860,0
137,0
812,1
77,1
637,1
974,1
939,1
900,0
281,1
884,0
762,0
320,0
550,0
175,0
372,1
528,0
211,0
236,0
102,0
987,0
903,1
948,0
347,0
140,0
622,1
500,1
371,0
199,0
688,0
585,0
902,0
60,1
329,0
97,1
313,0
975,0
300,0
278,1
925,0
602,0
440,1
838,0
571,1
880,0
262,1
579,0
24,0
31,0
618,0
11,0
222,1
821,0
297,0
55,1
543,0
210,0
605,0
693,1
663,0
867,0
71,1
544,0
108,0
494,1
591,0
742,0
293,0
290,1
653,0
40,1
590,1
308,0
680,1
67,0
276,1
68,0
319,0
549,1
999,1
715,0
754,1
328,1
383,0
452,1
523,0
219,0
788,0
437,0
765,1
89,0
64,0
827,0
717,1
352,1
937,0
257,1
636,1
645,0
555,1
960,0
169,0
918,1
529,1
824,1
986,0
817,0
87,1
433,0
185,1
979,1
535,1
295,0
893,0
426,0
714,0
261,1
238,1
560,0
584,1
446,0
868,0
801,0
600,0
850,1
266,0
996,0
530,0
56,1
121,0
216,0
26,0
73,0
45,0
248,0
722,0
282,0
894,1
915,0
811,1
245,1
823,1
322,0
644,1
159,1
978,0
430,0
942,0
463,0
310,1
698,0
61,0
885,0
596,0
768,0
650,1
651,0
866,0
669,0
299,0
690,1
315,1
311,0
362,0
480,1
111,1
990,1
487,0
364,0
255,0
260,0
803,0
678,0
495,0
671,0
378,0
527,1
846,1
138,1
356,0
366,1
943,1
750,0
949,1
830,1
657,1
200,1
214,0
409,0
333,0
209,0
614,1
79,0
