id,overall-ratings
522,0
738,0
741,1
661,1
412,0
679,0
627,1
514,0
860,1
137,0
812,1
77,0
637,0
974,1
939,1
900,0
281,0
884,0
762,0
320,0
550,1
175,0
372,1
528,0
211,0
236,0
102,0
987,1
903,0
948,0
347,0
140,0
622,1
500,0
371,0
199,1
688,1
585,0
902,1
60,1
329,0
97,0
313,0
975,0
300,0
278,1
925,0
602,1
440,0
838,0
571,0
880,0
262,1
579,0
24,0
31,1
618,0
11,1
222,0
821,0
297,0
55,0
543,0
210,0
605,1
693,0
663,0
867,0
71,1
544,0
108,0
494,1
591,1
742,0
293,0
290,1
653,0
40,1
590,1
308,0
680,1
67,0
276,0
68,0
319,0
549,0
999,1
715,0
754,1
328,0
383,0
452,1
523,0
219,0
788,0
437,0
765,1
89,1
64,0
827,0
717,0
352,1
937,0
257,1
636,1
645,0
555,1
960,0
169,0
918,0
529,1
824,1
986,0
817,1
87,1
433,0
185,1
979,0
535,1
295,1
893,1
426,1
714,1
261,0
238,0
560,0
584,0
446,0
868,0
801,0
600,0
850,0
266,1
996,1
530,1
56,1
121,0
216,1
26,1
73,1
45,0
248,0
722,0
282,1
894,0
915,0
811,0
245,1
823,0
322,0
644,1
159,0
978,0
430,0
942,1
463,0
310,1
698,0
61,0
885,0
596,0
768,0
650,1
651,1
866,0
669,0
299,0
690,1
315,0
311,0
362,0
480,1
111,0
990,1
487,1
364,1
255,0
260,1
803,1
678,0
495,0
671,1
378,1
527,0
846,0
138,1
356,0
366,1
943,0
750,1
949,0
830,1
657,1
200,0
214,0
409,1
333,0
209,0
614,1
79,0
