id,overall-ratings
522,0
738,0
741,1
661,0
412,0
679,0
627,1
514,0
860,0
137,1
812,1
77,1
637,1
974,1
939,1
900,1
281,1
884,0
762,0
320,0
550,0
175,0
372,1
528,0
211,0
236,0
102,0
987,1
903,1
948,0
347,0
140,0
622,1
500,1
371,1
199,1
688,1
585,0
902,0
60,1
329,1
97,1
313,0
975,0
300,0
278,1
925,0
602,1
440,1
838,0
571,1
880,0
262,1
579,0
24,0
31,1
618,0
11,1
222,1
821,0
297,0
55,1
543,0
210,0
605,1
693,1
663,0
867,1
71,1
544,0
108,1
494,1
591,0
742,0
293,0
290,1
653,1
40,1
590,1
308,0
680,1
67,0
276,1
68,0
319,0
549,1
999,1
715,1
754,1
328,0
383,0
452,1
523,0
219,1
788,0
437,1
765,1
89,1
64,0
827,0
717,1
352,1
937,0
257,1
636,1
645,1
555,1
960,1
169,1
918,1
529,1
824,1
986,0
817,0
87,1
433,1
185,1
979,1
535,1
295,0
893,1
426,0
714,1
261,1
238,1
560,0
584,1
446,0
868,0
801,0
600,1
850,1
266,1
996,0
530,1
56,1
121,0
216,1
26,0
73,1
45,0
248,0
722,0
282,0
894,1
915,1
811,1
245,1
823,1
322,0
644,1
159,1
978,0
430,0
942,0
463,0
310,1
698,1
61,0
885,0
596,0
768,0
650,1
651,0
866,0
669,1
299,0
690,1
315,1
311,0
362,0
480,1
111,1
990,1
487,0
364,1
255,0
260,0
803,1
678,0
495,0
671,1
378,0
527,1
846,1
138,1
356,0
366,1
943,1
750,0
949,1
830,1
657,1
200,1
214,0
409,0
333,1
209,1
614,1
79,0
